token_id,level1.level2.level3,level1,level2,level3,test_token,token,additional_info,,
1,Temporal.Synchronous,Temporal,Synchronous,,y,"Knowing a tasty – and free – meal when they eat one, the executives gave the chefs a standing ovation.",,,
2,Temporal.Synchronous,Temporal,Synchronous,,y,"The company is operating under Chapter 11 of the federal Bankruptcy Code, giving it court protection from creditors’ lawsuits while it attempts to work out a plan to pay its debts. ",,FAs,
3,temporal.synchronous,temporal,synchronous,,y,For Ms. Cunningham the architectural discombobulation matched the discrepancy she felt living in the AnaMor Towers as a little girl.,(Implicit=when),FAs with verb forms,
4,Temporal.Synchronous,Temporal,Synchronous,,y,"Then, in late-afternoon trading, hundred-thousand-share buy orders for UAL hit the market, including a 200,000-share order through Bear Stearns that seemed to spark UAL’s late price surge. Almost simultaneously, PaineWebber began a very visible buy program for dozens of stocks.",,,
5,Temporal.Synchronous,Temporal,Synchronous,,y,"But as the fright began to spread through the S&P pit, the big brokerage firms came in and bought futures aggressively.",,,
6,temporal.synchronous,temporal,synchronous,,y,"Turned loose in Shane Longman’s trading room, the yuppie dealers do little right.",(Implicit=When),(As a result of being),
7,Temporal.Synchronous,Temporal,Synchronous,,y,"The parishioners of St. Michael and All Angels stop to chat at the church door, as members here always have. In the tower, five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614.",(Implicit=while),,
8,Temporal.Asynchronous.Precedence,Temporal,Asynchronous,Precedence,y," A buffet breakfast was held in the museum, where food and drinks are banned to everyday visitors. Then, in the guests’ honor, the speedway hauled out four drivers, crews and even the official Indianapolis 500 announcer for a 10-lap exhibition race. ",,,
9,Temporal.Asynchronous.Precedence,Temporal,Asynchronous,Precedence,y,"Back downtown, the execs squeezed in a few meetings at the hotel before boarding the buses again.",,,
10,Temporal.Asynchronous.Precedence,Temporal,Asynchronous,Precedence,y,"Output will be gradually increased until it reaches about 11,000 barrels a day.",,,
11,Temporal.Asynchronous.Precedence,Temporal,Asynchronous,Precedence,y,"The Artist has his routine. He spends his days sketching passers-by, or trying to. At night he returns to the condemned building he calls home.",(Implicit=then) ,,
12,Temporal.Asynchronous.Succession,Temporal,Asynchronous,Succession,y,"William Gates and Paul Allen in 1975 developed an early language-housekeeper system for PCs, and Gates became an industry billionaire six years after IBM adapted one of these versions in 1981.",,,
13,Temporal.Asynchronous.Succession,Temporal,Asynchronous,Succession,y,"John D. Carney, 45, was named to succeed Mr. Hatch as president of Eastern Edison. Previously he was vice president of Eastern Edison. ",,,
14,Temporal.Asynchronous.Succession,Temporal,Asynchronous,Succession,y,"Pressed on the matter, he is more specific",(Implicit=when),,
15,contingency.cause.reason,contingency,cause,reason,y,"The world being the nasty place it is, we want Presidents to have the freedom to order operations in which someone might get killed.",(Implicit=As a result of) ,FAs with explicit subjects,
16,Contingency.Cause.Reason,Contingency,Cause,Reason,y,"Runways at San Francisco weren’t damaged, but traffic was being limited yesterday to 27 arrivals and 27 departures an hour – down from 33 to 45 an hour normally – mainly because the noise level in the control tower was overwhelming without the windows, an FAA spokeswoman said.",,,
17,contingency.cause.reason,contingency,cause,reason,y," Inflation surging, the pound began falling against the mark. ",(Implicit=With),FAs with explicit subjects,
18,Contingency.Cause.Reason,Contingency,Cause,Reason,y,"Some dealers said the Treasury’s intent is to help government bond dealers gauge investor demand for the securities, given uncertainties about when the auction will occur.",,FAs,
19,contingency.cause.reason,contingency,cause,reason,y,"The Nicaraguan president, citing attacks by the U.S.-backed rebels, suspended a 19-month-old cease-fire . . .", (Implicit=as a result of),FAs with no verb form,
20,Contingency.Cause.Reason,Contingency,Cause,Reason,y,"But service on the line is expected to resume by noon today.  “We had no serious damage on the railroad,” said a Southern Pacific spokesman. ",(Implicit=since),,
21,contingency.cause.reason,contingency,cause,reason,y,"Unable to unload UAL and other airline shares, takeover-stock specu- lators, or risk arbitragers, dumped every blue-chip stock they had.",(Implicit=As a result of being) ,FAs with no verb form,
22,Contingency.Cause.Reason,Contingency,Cause,Reason,y,"Stung by the Giuliani ads, Mr. Dinkins’s TV consultants, Robert Shrum and David Doak, finally unleashed a negative ad of their own.",(As a result of being) ,implicit FAs,
23,contingency.cause.reason,contingency,cause,reason,y," With membership of the Church of England steadily dwindling, strong-willed vicars are press- ing equally strong-willed and often non-religious ringers to attend services.",,"primarily, subordinate clauses introduced by prepositional subordinators ",
24,Contingency.Cause.Reason,Contingency,Cause,Reason,y,"Treasurys opened lower, reacting negatively to news that the producer price index – a measure of inflation on the wholesale level – accelerated in September.",(Implicit=as a result of),implicit FAs,
25,contingency.cause.reason,contingency,cause,reason,y,"In addition, Lionel began a lawsuit in federal District Court in New York seeking to enjoin the offer, alleg- ing, among other things, violations of federal securities law and fraudulent manipulation of the market for Lionel’s securities.",(Implicit=because of) ,,
26,Contingency.Cause.Reason,Contingency,Cause,Reason,y,"y 11:59 p.m. tonight, President Bush must order $16 billion of automatic, across-the-board cuts in gov- ernment spending to comply with the Gramm-Rudman budget law. The cuts are necessary because Congress and the administration have failed to reach agreement on a deficit-cutting bill.",,,
27,contingency.cause.result,contingency,cause,result,y,"In countries such as Taiwan, South Korea and Singapore, economies are growing, resulting in a rise in disposable income that consumers can use for soft drinks.",AltLex phrases in FAs,,
28,Contingency.Cause.Result,Contingency,Cause,Result,y,The bill would then declare that the debt is equity and therefore isn’t deductible.,,,
29,Contingency.Cause.Result,Contingency,Cause,Result,y,"Now, though, enormous costs for earthquake relief will pile on top of outstanding costs for hurricane relief. “That obviously means that we won’t have enough for all of the emergencies that are now facing us, . . . ,” Mr. Fitzwater said. ",,,
30,Contingency.Cause.Result,Contingency,Cause,Result,y,"“We are going to explode lower,” says the flamboyant market seer, ...Anyone telling you to buy stocks in this market is technically irresponsible. ",(Implicit=so) ,,
31,Contingency.Cause.negResult,Contingency,Cause,negResult,y,that Banco Exterior may have waited too long to diversify from its traditional export-related activities.,,,
32,Contingency.Cause.negResult,Contingency,Cause,negResult,y,Friday’s stock market sell-off came too late for many investors to act. ,,,
33,Contingency.Cause+Belief.Reason,Contingency,Cause+Belief,Reason,y,"With this sort of sentiment common, it’s natural for investors to seek out “defensive” investment.",,,
34,Contingency.Cause+Belief.Reason,Contingency,Cause+Belief,Reason,y,The nations of southern Africa know a lot about managing elephants; their herds are thriv- ing.,(Implicit=as),,
35,Contingency.Cause+Belief.Reason,Contingency,Cause+Belief,Reason,y,"And until last Friday, it seemed those efforts were starting to pay off. “Some of those folks were coming back,” says Leslie Quick Jr., chairman, of discount brokers Quick & Reilly Group Inc.",(Implicit=because),,
36,Contingency.Cause+Belief.Result,Contingency,Cause+Belief,Result,y,"Kellogg suspended work on a $1 billion cereal plant, indicating a pessimistic outlook by the cereal maker, which has been losing market share.",,,
37,Contingency.Cause+Belief.Result,Contingency,Cause+Belief,Result,y,There were no {sell} lists and the calendar is lightening up a bit. There’s light at the end of the tunnel for municipalities. ,(Implicit=so) ,,
38,Contingency.Cause+SpeechAct.Reason,Contingency,Cause+SpeechAct,Reason,y,"“Maybe I’m a little stuffy, but I wouldn’t sell them,” sniffs Bob Machon, owner of Papa’s Sports Cards in Menlo Park, California.",,,
39,Contingency.Cause+SpeechAct.Result,Contingency,Cause+SpeechAct,Result,y,"I’ve seen a great many moviestar film portraits, and this one is outstanding.",,,
40,Contingency.Cause+SpeechAct.Result,Contingency,Cause+SpeechAct,Result,y,Surviving scandal has become a rite of political passage at a time when a glut of scandal has blunted this town’s sensibility. Let the president demand strict new ethics rules.,(implicit=so),,
41,Contingency.Condition.Arg1-as-cond,Contingency,Condition,Arg1-as-cond,y,"Call Jim Wright‘s office in downtown Fort Worth, Texas, these days and the receptionist still answers the phone, “Speaker Wright‘s office.”",,,
42,Contingency.Condition.Arg1-as-cond,Contingency,Condition,Arg1-as-cond,y,"but he’s still yelling: “I find myself explaining anything to Teddy Kennedy,  you’ll be chasing stolen cars in Anchorage”",(implicit=then),,
43,Contingency.Condition.Arg2-as-cond,Contingency,Condition,Arg2-as-cond,y,But some bond market analysts said that could quickly change if property casualty insurance companies scramble to sell portions of their municipal portfolios to raise cash to pay damage claims.,,,
44,contingency.condition.arg2-as-cond,contingency,condition,arg2-as-cond,y,"Had he been a little less gung-ho, ”I’d have gotten the thing on the ground and headed for the nearest bar,” Mr. Brown says. ",AltLex phrases in FAs,,
45,Contingency.Condition.Arg2-as-cond,Contingency,Condition,Arg2-as-cond,y,Trade and Industry Secretary Nicholas Ridley told the House of Commons yesterday that he will relinquish the government’s so-called golden share in the company] as long as Jaguar shareholders agree.,,,
46,Contingency.Condition.Arg2-as-cond,Contingency,Condition,Arg2-as-cond,y,"The price of the second simulator ranges between C$16.4 million and C$18 million, CAE said, depending on when the Army exercises its option.",,FAs,
47,Contingency.Condition.Arg2-as-cond,Contingency,Condition,Arg2-as-cond,y,Banks need a competitive edge to sell their products.,Infinitival Clauses,,
48,Contingency.Condition.Arg2-as-cond,Contingency,Condition,Arg2-as-cond,y,He said the index would have to be in the low 40% range for several months to be considered a forecast of recession.,Infinitival Clauses,,
49,Contingency.Condition.Arg2-as-cond,Contingency,Condition,Arg2-as-cond,y,"Had the contest gone a full seven games, ABC could have reaped an extra $10 million in ad sales on the seventh game alone.",,,
50,contingency.condition.arg2-as-cond,contingency,condition,arg2-as-cond,y,"Left to its own devices, index arbitrage will become more and more efficient, making it harder and harder to do profitably. ",(Implicit=If),(As a result of being),
51,contingency.condition.arg2-as-cond,contingency,condition,arg2-as-cond,y,"On the other hand, had it existed then, Cray Computer would have incurred a $20.5 million loss.",,"a subtype of AltLex where the relation is expressed by the syntactic construction,",
52,Contingency.Condition.Arg2-as-cond,Contingency,Condition,Arg2-as-cond,y,". . . which, unlike utilities, aren’t regulated and therefore don’t need government approval to construct new plants.",Infinitival Clauses,,
53,Contingency.Condition.Arg2-as-cond,Contingency,Condition,Arg2-as-cond,y,"At the same time, though, it must become more structured to better manage its growth.",(implicit=so as),,
54,Contingency.Condition+SpeechAct,Contingency,Condition+SpeechAct,,y,"When it comes to buying and selling shares, Westridge Capital Management Inc. takes a back seat to no one.",,,
55,Contingency.Condition+SpeechAct,Contingency,Condition+SpeechAct,,y,"If bringing the message is a crime, I’m guilty of it.",,,
56,Contingency.Negative-condition.Arg1-as-negCond,Contingency,Negative-condition,Arg1-as-negCond,y,The National Institutes of Health policy would require researchers to cut financial ties with health-care businesses or lose their government money.,,,
57,Contingency.Negative-condition.Arg1-as-negCond,Contingency,Negative-condition,Arg1-as-negCond,y,"This will prevent a slide in industrial production, which will otherwise cause new panic buying.",,,
58,Contingency.Negative-condition.Arg2-as-negCond,Contingency,Negative-condition,Arg2-as-negCond,y,"But a Soviet bank here would be crippled unless Moscow found a way to settle the $188 million debt, which was lent to the country’s short-lived democratic Kerensky government before the Communists seized power in 1917.",,,
59,Contingency.Negative-condition.Arg2-as-negCond,Contingency,Negative-condition,Arg2-as-negCond,y,"Unless the Federal Reserve eases interest rates soon to stimulate the economy, profits could remain disappointing",,,
60,Contingency.Negative-condition.Arg2-as-negCond,Contingency,Negative-condition,Arg2-as-negCond,y,"Sandoz said it expects a ”substantial increase” in consolidated profit for the full year, barring major currency rate change.",,,
61,contingency.negative-condition.arg2-as-negcond,contingency,negative-condition,arg2-as-negcond,y,He also said that the group reduced its offer because it wasn’t allowed to see Georgia Gulf’s confidential financial information without agreeing that it wouldn’t make an offer unless it had Georgia Gulf’s consent.,"primarily, subordinate clauses introduced by prepositional subordinators ",,
62,Contingency.Negative-condition.Arg2-as-negCond,Contingency,Negative-condition,Arg2-as-negCond,y,"it expects a “substantial increase” in consolidated profit for the full year, barring major currency rate changes.",,,
63,Contingency.Negative-condition+SpeechAct,Contingency,Negative-condition+SpeechAct,,y,"Unless you’re on a diet, there are some cookies in the cupboard.",,"none of the tokens in the PDTB-3 have been annotated with this sense, ",
64,Contingency.Purpose.Arg1-as-goal,Contingency,Purpose,Arg1-as-goal,y,"She ordered the foyer done in a different plaid planting, and made the land- scape architects study a book on tartans.", (Implicit=for that purpose),,
65,Contingency.Purpose.Arg1-as-goal,Contingency,Purpose,Arg1-as-goal,y,"There are the strict monetarists, who believe that floating exchange rates free an economy to stabilize its price level by stabilizing the monetary aggregate.",,,
66,Contingency.Purpose.Arg2-as-goal,Contingency,Purpose,Arg2-as-goal,y,"Skilled ringers use their wrists to advance or retard the next swing, so that one bell can swap places with another in the following change.",,,
67,Contingency.Purpose.Arg2-as-goal,Contingency,Purpose,Arg2-as-goal,y,Do you really need this much money to put up these investments?,Infinitival Clauses,,
68,Contingency.Purpose.Arg2-as-goal,Contingency,Purpose,Arg2-as-goal,y,"In September, the company said it was seeking offers for its five radio stations in order to concentrate on its programming business.",,,
69,Contingency.Purpose.Arg2-as-goal,Contingency,Purpose,Arg2-as-goal,y,The two companies have been discussing a transaction under which Fresenius would buy Delmed stock for cash to bring its beneficial ownership to between 70% and 80% of Delmed’s fully diluted common stock. ,Infinitival Clauses,,
70,Contingency.Purpose.Arg2-as-goal,Contingency,Purpose,Arg2-as-goal,y,These active suspension systems electronically sense road conditions and adjust a car’s ride,Conjoined VPs with a single sense relation,,
71,Contingency.Purpose.Arg2-as-goal,Contingency,Purpose,Arg2-as-goal,y,I think they should close down the futures exchange and then we could get back to investing.,,,
72,comparison.concession.arg1-as-denier,comparison,concession,arg1-as-denier,y,"Crucial as these elections are for Greece, pressing issues of state are getting lost in the shuffle.",," a subtype of AltLex where the relation is expressed by the syntactic construction, ",
73,Comparison.Concession.Arg1-as-denier,Comparison,Concession,Arg1-as-denier,y,"The documents also said that although the 64-year-old Mr. Cray has been working on the project for more than six years, the Cray-3 machine is at least another year away from a fully operational prototype. ",,,
74,comparison.concession.arg1-as-denier,comparison,concession,arg1-as-denier,y,"Crude as they were, these early PCs triggered explosive product development in desktop models for the home and office.",AltLex phrases in FAs,,
75,Comparison.Concession.Arg1-as-denier,Comparison,Concession,Arg1-as-denier,y,"It’s as if investors, the past few days, are betting that something is going to go wrong – even if they don’t know what.",,,
76,Comparison.Concession.Arg1-as-denier,Comparison,Concession,Arg1-as-denier,y,"Barely visible on Hong Kong’s property scene in 1985, by last year Japan had become the top foreign investor. ",(Implicit=although),,
77,comparison.concession.Arg2-as-denier),comparison,concession,Arg2-as-denier),y,"No matter who owns PS of New Hampshire, after it emerges from bankruptcy proceedings its rates will be among the highest in the nation, he said.",,"primarily, subordinate clauses introduced by prepositional subordinators (",
78,Comparison.Concession.Arg2-as-denier,Comparison,Concession,Arg2-as-denier,y,"Last Friday, 96 stocks on the Big Board hit new 12-month lows. But by Mr. Granville’s count, 493 issues were within one point of such lows. ",,,
79,Comparison.Concession.Arg2-as-denier,Comparison,Concession,Arg2-as-denier,y,"Several of those post-crash changes kicked in during Friday’s one-hour collapse and worked as expected, even though they didn’t prevent a stunning plunge. ",,,
80,Comparison.Concession.Arg2-as-denier,Comparison,Concession,Arg2-as-denier,y,"American Brands “just had a different approach,” Mr. Wathen says. “Their approach didn’t work.”",(Implicit=however),,
81,Comparison.Concession+SpeechAct.Arg2-as-denier+SA,Comparison,Concession+SpeechAct,Arg2-as-denier+SA,y,"Congress closed this loophole last year, or thought it did.",,,
82,Comparison.Concession+SpeechAct.Arg2-as-denier+SA,Comparison,Concession+SpeechAct,Arg2-as-denier+SA,y,"He lived in Peking, or should I say Beijing, for 20 years.",,,
83,Comparison.Contrast,Comparison,Contrast,,y,"While the earnings picture confuses, observers say the major forces expected to shape the industry in the coming year are clearer.",,,
84,Comparison.Contrast,Comparison,Contrast,,y,"After all, gold prices usually soar when inflation is high. Utility stocks, on the other hand, thrive on disinflation . . .",,,
85,Comparison.Contrast,Comparison,Contrast,,y,Mr. Edelman said the decision ”has nothing to do with Marty Ackerman.” Mr. Ackerman contended that it was a direct response to his efforts to gain control of Datapoint.,(implicit=on the contrary) ,,
86,Comparison.Contrast,Comparison,Contrast,,y,"Stocks closed higher in Hong Kong, Manila, Singapore, Sydney and Wellington, but were lower in Seoul.",Conjoined VPs with a single sense relation,,
87,Comparison.Contrast,Comparison,Contrast,,y,"There wasn’t a lot of panic selling, either domestically or internationally. Not like Friday where they just took {the market} apart.",,,
88,Comparison.Similarity,Comparison,Similarity,,y,"...that even after Monday’s 10% decline, the Straits Times index is up 24% this year, so investors who bailed out generally did so profitably. Similarly, Kuala Lumpur’s composite index yesterday ended 27.5% above its 1988 close.",,,
89,Comparison.Similarity,Comparison,Similarity,,y,"Just as the 1980s bull market transformed the U.S. securities business, so too will the more difficult environment of the 1990s,” says Christopher T. Mahoney, a Moody’s vice president.",,,
90,Comparison.Similarity,Comparison,Similarity,,y,Builders get away with using sand and financiers junk . . . ,(implicit=similarly) ,,
91,Comparison.Similarity,Comparison,Similarity,,y,"Her Susie Diamond handles a song the way the greats do, like she’s hearing the way it should sound inside her head and she’s concentrating on matching that internal tone. ",,,
92,Expansion.Conjunction,Expansion,Conjunction,,y,I can adjust the amount of insurance I want against the amount going into investment; I can pay more or less than the so-called target premium in a given year.,(Implicit=Conjunction) ,,
93,Expansion.Conjunction,Expansion,Conjunction,,y,"Chemical named James Kennedy, . . . , to assume Mr. Edelson’s duties and to be trading manager for derivative products, including swaps and interest-rate options ",Conjoined VPs with a single sense relation,,
94,Expansion.Conjunction,Expansion,Conjunction,,y,"Hugely popular, it is far more flexible than straight whole life. I can adjust the amount of insurance I want against the amount going into investment",,,
95,Expansion.Disjunction,Expansion,Disjunction,,y,"If we want to support students, we might adopt the idea used in other countries of offering more scholarships based on something called ”scholarship,” rather than on the government’s idea of ”service.” Or we might provide a tax credit for working students. ",,,
96,Expansion.Disjunction,Expansion,Disjunction,,y,"If we want to support students, we might adopt the idea used in other countries of offering more scholarships based on something called “scholarship,” rather than on the government’s idea of “service.”.",,,
97,Expansion.Equivalence,Expansion,Equivalence,,y,Chairman Krebs says the California pension fund is getting a bargain price that wouldn’t have been offered to others. In other words: The real estate has a higher value than the pending deal suggests.,,,
98,Expansion.Equivalence,Expansion,Equivalence,,y," But the battle is more than Justin bargained for. ”I had no idea I was getting in so deep,” says Mr. Kaye, who founded Justin in 1982.", (implicit=indeed) ,,
99,Expansion.Exception.Arg1-as-excpt,Expansion,Exception,Arg1-as-excpt,y,"Twenty-five years ago the poet Richard Wilbur modernized this 17th-century comedy merely by avoiding ”the zounds sort of thing,” as he wrote in his introduction. Otherwise, the scene remained Celimene’s house in 1666.",,,
100,Expansion.Exception.Arg1-as-excpt,Expansion,Exception,Arg1-as-excpt,y,"Some Japanese operations, such as securities-trading rooms, may be ahead of their American counterparts, he says, but basically, there’s little analysis done on computers in Japan.”",Implicit=otherwise),,
101,Expansion.Exception.Arg2-as-excpt,Expansion,Exception,Arg2-as-excpt,y,Boston Co. officials declined to comment on Moodys action on the units financial performance this year except to deny a published report that outside accountants had discovered evidence of significant accounting errors in the first three quarters results.,,,
102,Expansion.Instantiation.Arg1-as-instance,Expansion,Instantiation,Arg1-as-instance,y,". . . and foreign companies such as Givaudan that deal with those industries are being hit the hardest. But in general, all foreign-trading companies are feeling the pinch. ",,,
103,Expansion.Instantiation.Arg1-as-instance,Expansion,Instantiation,Arg1-as-instance,y,"Then, as if to show that he could play fast as well, he offered the second movement from Saint-Saens’s Sonata for Clarinet, ...",,,
104,Expansion.Instantiation.Arg1-as-instance,Expansion,Instantiation,Arg1-as-instance,y,"Swiveling in his chair, Mr. Straszheim replies that the new outlook, though still weak, doesn’t justify calling a recession right now. “It’s all in this handout you don’t want to look at. We could still have a recession” at some point. One of Mr. Straszheim’s recurring themes is that the state of the economy isn’t a simple black or white. ", ,,
105,Expansion.Instantiation.Arg2-as-instance,Expansion,Instantiation,Arg2-as-instance,y,"In October doctors were debating the product’s safety, some claiming it caused infec- tions.",(Implicit=with),Implicit FAs,
106,Expansion.Instantiation.Arg2-as-instance,Expansion,Instantiation,Arg2-as-instance,y,"The computers were crude by today’s standards. Apple II owners, for example, had to use their tele- vision sets as screens and stored data on audiocassettes. ",,,
107,Expansion.Instantiation.Arg2-as-instance,Expansion,Instantiation,Arg2-as-instance,y,"And regional offices were “egregiously overstaffed,” he claims. One office had 19 people doing the work of three, . . . [",(Implicit=for example),,
108,Expansion.Level-of-detail.Arg1-as-detail,Expansion,Level-of-detail,Arg1-as-detail,y,"Many modern scriptwriters seem to be incapable of writing drama, or anything else, without foul-mouthed cursing. Sex and violence are routinely included even when they are irrelevant to the script, and high-tech special effects are continually substituted for good plot and character development. In short, we have a movie and television industry that is either incapable or petrified of making a movie unless it carries a PG-13 or R rating. ", ,,
109,Expansion.Level-of-detail.Arg2-as-detail,Expansion,Level-of-detail,Arg2-as-detail,y,...expanding the monthly reports on program trading to cover specific days or even hours of heavy program trading and who was doing it.,Infinitival Clauses,,
110,Expansion.Level-of-detail.Arg2-as-detail,Expansion,Level-of-detail,Arg2-as-detail,y,"A Lorillard spokewoman said, “This is an old story. Were talking about years ago before anyone heard of asbestos having any questionable properties.”", (Implicit = in fact) ,,
111,Expansion.Level-of-detail.Arg2-as-detail,Expansion,Level-of-detail,Arg2-as-detail,y,First came his predictable fusillade: He charged the Coalition of the Left and Progress had sold out its leftist tenets by collaborating in a right-wing plot . . . .,,,
112,expansion.level-of-detail.arg2-as-detail,expansion,level-of-detail,arg2-as-detail,y,"He now runs Policy Communications in Washington, consulting to media com- panies.",(Implicit=specifically) ,,FAs with verb forms
113,Expansion.Level-of-detail.Arg2-as-detail,Expansion,Level-of-detail,Arg2-as-detail,y,An enormous turtle has succeeded where the government has failed: He has made speaking Filipino respectable.,(Implicit = specifically) ,,
114,Expansion.Manner.Arg1-as-manner,Expansion,Manner,Arg1-as-manner,y,"McCaw is offering $125 a share for 22 million LIN shares, thereby challenging LIN’s proposal to spin off its television properties, pay shareholders a $20-a-share special dividend and combine its cellular-telephone operations with BellSouth’s cellular business.",,Arg1 answers the question How did McCaw challenge LIN’s proposal?,
115,Expansion.Manner.Arg1-as-manner,Expansion,Manner,Arg1-as-manner,y,Long-debated proposals to simplify the more than 150 civil penalties (Implicit=thereby) and make them fairer and easier to administer are in the House tax b,,Arg1 answers the question How do the proposals make civil penalties fairer and easier to administer?,
116,Expansion.Manner.Arg2-as-manner,Expansion,Manner,Arg2-as-manner,y,"Taking a cue from California, more politicians will launch their campaigns by backing initiatives, says David Magleby of Brigham Young University.",,Arg2 answers the question How are politicians launching their campaigns?,
117,Expansion.Manner.Arg2-as-manner,Expansion,Manner,Arg2-as-manner,y,The first hybrid corn seeds produced using this mechanical approach were introduced in the 1930s and they yielded as much as 20% more corn than naturally pollinated plants.,(Implicit=by),implicit FAs,
118,Expansion.Manner.Arg2-as-manner,Expansion,Manner,Arg2-as-manner,y," In China, a great number of workers are engaged in pulling out the male organs of rice plants using tweezers.",(Implicit=by) ,Arg2 answers the question How are workers pulling out the male organs of rice plants?,
119,Expansion.Manner.Arg2-as-manner,Expansion,Manner,Arg2-as-manner,y,"Without P&G’s backing, Noxell might not have been able to spend the estimated $5 million to $7 million needed to accomplish that without scrimping on its existing brands.",,"arg2 as manner, not explicitly mentioned",
120,Expansion.Substitution.Arg1-as-subst,Expansion,Substitution,Arg1-as-subst,y,"Eliminate arbitrage and liquidity will decline instead of rising, creating more volatility instead of less.",,,
121,Expansion.Substitution.Arg1-as-subst,Expansion,Substitution,Arg1-as-subst,y,"Rather than sell 39-cents-a-pound Delicious, maybe we can sell 79-cents-a-pound Fujis,” says Chuck Tryon, . . . ",,,
122,expansion.substitution.arg1-as-subst,expansion,substitution,arg1-as-subst,y,"Eliminate arbitrage and liquidity will decline instead of rising, creating more volatility instead of less.","primarily, subordinate clauses introduced by prepositional subordinators",,
123,Expansion.Substitution.Arg1-as-subst,Expansion,Substitution,Arg1-as-subst,y,"Intervention, he added, is useful only to smooth disorderly markets, not to fundamentally influence the dollar’s value. ",,,
124,Expansion.Substitution.Arg2-as-subst,Expansion,Substitution,Arg2-as-subst,y,"He could develop the beach through a trust, but instead is trying have his grandson become a natu- ralized Mexican so his family gains direct control.",,,
125,Expansion.Substitution.Arg2-as-subst,Expansion,Substitution,Arg2-as-subst,y,"Nor are any of these inefficient monoliths likely to be allowed to go bankrupt. Rather, the brunt of the slowdown will be felt in the fast-growing private and semi-private ”township” enterprises, ...[",,,
126,Expansion.Substitution.Arg2-as-subst,Expansion,Substitution,Arg2-as-subst,y,"However, StatesWest isn’t abandoning its pursuit of the much-larger Mesa. StatesWest, which has a 7.25% stake in Mesa, said it may purchase more Mesa stock or make a tender offer directly to Mesa shareholders.",(Implicit=instead) ,,